,Vc,Vout
0,0.0,-7.30109
1,-0.5,-9.94153
2,-1.0,-9.95947
3,-1.5,-9.96951
4,-2.0,-9.97439
5,-2.5,-9.97774
6,-3.0,-9.95142
7,-3.5,-9.2518
8,-4.0,-6.21451
9,-4.5,-1.72658
10,-5.0,-0.302761
11,-5.5,-0.0656414
12,-6.0,-0.0333619
13,-6.5,-0.0221944
14,-7.0,-0.0166035
15,-7.5,-0.0133419
16,-8.0,-0.0111771
17,-8.5,-0.00967979
18,-9.0,-0.00855446
19,-9.5,-0.00769615
20,-10.0,-0.00703335
21,-10.5,-0.0064826
22,-11.0,-0.00603914
23,-11.5,-0.00565052
24,-12.0,-0.00532627
25,-12.5,-0.00506401
26,-13.0,-0.00481367
27,-13.5,-0.0046277
28,-14.0,-0.0044322
29,-14.5,-0.00426292
