,V,I,R
0,0.0,-1.85966e-10,1022446083.1067414
1,-0.5,-6.7234e-10,1022446083.1067414
2,-1.0,-1.16944e-09,1022446083.1067414
3,-1.5,-1.65582e-09,1022446083.1067414
4,-2.0,-2.14457e-09,1022446083.1067414
5,-2.5,-2.62976e-09,1022446083.1067414
6,-3.0,-3.13044e-09,1022446083.1067414
7,-3.5,-3.62277e-09,1022446083.1067414
8,-4.0,-4.10318e-09,1022446083.1067414
9,-4.5,-4.58598e-09,1022446083.1067414
10,-5.0,-5.07951e-09,1022446083.1067414
11,-5.5,-5.56111e-09,1022446083.1067414
12,-6.0,-6.0463e-09,1022446083.1067414
13,-6.5,-6.5434e-09,1022446083.1067414
14,-7.0,-7.03454e-09,1022446083.1067414
15,-7.5,-7.54356e-09,1022446083.1067414
16,-8.0,-8.0514e-09,1022446083.1067414
17,-8.5,-8.5032e-09,1022446083.1067414
18,-9.0,-8.98838e-09,1022446083.1067414
19,-9.5,-9.4831e-09,1022446083.1067414
