,Vds,Ids,Vgs
0,0.0,1.06096e-10,-10
1,-0.2,-2.76877e-07,-10
2,-0.4,-5.23083e-07,-10
3,-0.6000000000000001,-7.48639e-07,-10
4,-0.8,-9.5904e-07,-10
5,-1.0,-1.14582e-06,-10
6,-1.2000000000000002,-1.31423e-06,-10
7,-1.4000000000000001,-1.46826e-06,-10
8,-1.6,-1.61001e-06,-10
9,-1.8,-1.73933e-06,-10
10,-2.0,-1.85618e-06,-10
11,-2.2,-1.96204e-06,-10
12,-2.4000000000000004,-2.05659e-06,-10
13,-2.6,-2.13941e-06,-10
14,-2.8000000000000003,-2.21345e-06,-10
15,-3.0,-2.2767e-06,-10
16,-3.2,-2.33242e-06,-10
17,-3.4000000000000004,-2.38032e-06,-10
18,-3.6,-2.42036e-06,-10
19,-3.8000000000000003,-2.45491e-06,-10
20,-4.0,-2.48295e-06,-10
21,-4.2,-2.50626e-06,-10
22,-4.4,-2.52732e-06,-10
23,-4.6000000000000005,-2.5437e-06,-10
24,-4.800000000000001,-2.55735e-06,-10
25,-5.0,-2.56931e-06,-10
26,-5.2,-2.57858e-06,-10
27,-5.4,-2.58641e-06,-10
28,-5.6000000000000005,-2.59152e-06,-10
29,-5.800000000000001,-2.59652e-06,-10
30,-6.0,-2.60037e-06,-10
31,-6.2,-2.60601e-06,-10
32,-6.4,-2.60738e-06,-10
33,-6.6000000000000005,-2.60957e-06,-10
34,-6.800000000000001,-2.61255e-06,-10
35,-7.0,-2.61499e-06,-10
36,-7.2,-2.61716e-06,-10
37,-7.4,-2.61667e-06,-10
38,-7.6000000000000005,-2.61704e-06,-10
39,-7.800000000000001,-2.61657e-06,-10
40,-8.0,-2.6166e-06,-10
41,-8.200000000000001,-2.61605e-06,-10
42,-8.4,-2.61679e-06,-10
43,-8.6,-2.614e-06,-10
44,-8.8,-2.61053e-06,-10
45,-9.0,-2.61016e-06,-10
46,-9.200000000000001,-2.61012e-06,-10
47,-9.4,-2.60856e-06,-10
48,-9.600000000000001,-2.60841e-06,-10
49,-9.8,-2.60512e-06,-10
