,Vgs,Ids,Vds
0,0.0,-1.05059e-08,-10
1,-0.2,-1.0004e-08,-10
2,-0.4,-9.97305e-09,-10
3,-0.6000000000000001,-9.96351e-09,-10
4,-0.8,-9.96351e-09,-10
5,-1.0,-9.95874e-09,-10
6,-1.2000000000000002,-9.95398e-09,-10
7,-1.4000000000000001,-9.95636e-09,-10
8,-1.6,-9.95398e-09,-10
9,-1.8,-9.95159e-09,-10
10,-2.0,-9.95636e-09,-10
11,-2.2,-9.95517e-09,-10
12,-2.4000000000000004,-9.9504e-09,-10
13,-2.6,-9.95278e-09,-10
14,-2.8000000000000003,-9.94921e-09,-10
15,-3.0,-9.95398e-09,-10
16,-3.2,-9.99331e-09,-10
17,-3.4000000000000004,-1.01089e-08,-10
18,-3.6,-1.04749e-08,-10
19,-3.8000000000000003,-1.13153e-08,-10
20,-4.0,-1.30212e-08,-10
21,-4.2,-1.61493e-08,-10
22,-4.4,-2.13027e-08,-10
23,-4.6000000000000005,-2.92933e-08,-10
24,-4.800000000000001,-4.07481e-08,-10
25,-5.0,-5.69892e-08,-10
26,-5.2,-8.00383e-08,-10
27,-5.4,-1.08888e-07,-10
28,-5.6000000000000005,-1.42583e-07,-10
29,-5.800000000000001,-1.8127e-07,-10
30,-6.0,-2.24825e-07,-10
31,-6.2,-2.73588e-07,-10
32,-6.4,-3.27764e-07,-10
33,-6.6000000000000005,-3.88595e-07,-10
34,-6.800000000000001,-4.55034e-07,-10
35,-7.0,-5.28338e-07,-10
36,-7.2,-6.08705e-07,-10
37,-7.4,-6.98024e-07,-10
38,-7.6000000000000005,-7.94507e-07,-10
39,-7.800000000000001,-8.85562e-07,-10
40,-8.0,-9.989e-07,-10
41,-8.200000000000001,-1.12134e-06,-10
42,-8.4,-1.25005e-06,-10
43,-8.6,-1.38927e-06,-10
44,-8.8,-1.53779e-06,-10
45,-9.0,-1.69506e-06,-10
46,-9.200000000000001,-1.86065e-06,-10
47,-9.4,-2.03611e-06,-10
48,-9.600000000000001,-2.2226e-06,-10
49,-9.8,-2.41847e-06,-10
