,Vmem,Vc
0,-0.1,-3.76232
1,-0.30000000000000004,-9.94781
2,-0.5000000000000001,-9.96765
3,-0.7000000000000001,-9.97127
4,-0.9000000000000001,-9.97271
5,-1.1000000000000003,-9.97793
6,-1.3000000000000003,-9.97992
7,-1.5000000000000004,-9.97966
8,-1.7000000000000004,-9.98093
9,-1.9000000000000004,-9.98195
10,-2.1000000000000005,-9.98304
11,-2.3000000000000007,-9.9834
12,-2.5000000000000004,-9.9844
13,-2.7000000000000006,-9.98488
14,-2.900000000000001,-9.98451
15,-3.1000000000000005,-9.98512
16,-3.3000000000000007,-9.98583
17,-3.500000000000001,-9.9857
18,-3.7000000000000006,-9.98271
19,-3.900000000000001,-9.96925
20,-4.1000000000000005,-9.92115
21,-4.300000000000001,-9.77223
22,-4.500000000000001,-9.39766
23,-4.7,-8.64063
24,-4.9,-7.39933
25,-5.1000000000000005,-5.70681
26,-5.300000000000001,-3.72077
27,-5.500000000000001,-1.7289
28,-5.700000000000001,-0.872757
29,-5.9,-0.384619
30,-6.1000000000000005,-0.161359
31,-6.300000000000001,-0.0948071
32,-6.500000000000001,-0.0677228
33,-6.700000000000001,-0.0524759
34,-6.900000000000001,-0.0426793
35,-7.100000000000001,-0.0357819
36,-7.300000000000001,-0.030787
37,-7.500000000000001,-0.0270057
38,-7.700000000000001,-0.024035
39,-7.900000000000001,-0.021646
40,-8.100000000000001,-0.019691
41,-8.3,-0.0180268
42,-8.500000000000002,-0.0166631
43,-8.700000000000001,-0.0154829
44,-8.900000000000002,-0.0144744
45,-9.100000000000001,-0.0135779
46,-9.3,-0.012784
47,-9.500000000000002,-0.0121021
48,-9.700000000000001,-0.0114775
49,-9.900000000000002,-0.0109434
