,V,I,R
0,-2.0,-2.24113e-09,1000671395.799292
1,-1.9,-2.02894e-09,1000671395.799292
2,-1.7999999999999998,-1.92761e-09,1000671395.799292
3,-1.6999999999999997,-1.82629e-09,1000671395.799292
4,-1.5999999999999996,-1.72853e-09,1000671395.799292
5,-1.4999999999999996,-1.63078e-09,1000671395.799292
6,-1.3999999999999995,-1.53184e-09,1000671395.799292
7,-1.2999999999999994,-1.4317e-09,1000671395.799292
8,-1.1999999999999993,-1.32799e-09,1000671395.799292
9,-1.0999999999999992,-1.23262e-09,1000671395.799292
10,-0.9999999999999991,-1.13606e-09,1000671395.799292
11,-0.899999999999999,-1.03354e-09,1000671395.799292
12,-0.7999999999999989,-9.33409e-10,1000671395.799292
13,-0.6999999999999988,-8.33273e-10,1000671395.799292
14,-0.5999999999999988,-7.37905e-10,1000671395.799292
15,-0.49999999999999867,-6.46114e-10,1000671395.799292
16,-0.3999999999999986,-5.4121e-10,1000671395.799292
17,-0.2999999999999985,-4.43459e-10,1000671395.799292
18,-0.1999999999999984,-3.49283e-10,1000671395.799292
19,-0.09999999999999831,-2.50339e-10,1000671395.799292
20,1.7763568394002505e-15,-1.41859e-10,1000671395.799292
21,0.10000000000000187,-4.29153e-11,1000671395.799292
22,0.20000000000000195,5.48363e-11,1000671395.799292
23,0.30000000000000204,1.52588e-10,1000671395.799292
24,0.40000000000000213,2.53916e-10,1000671395.799292
25,0.5000000000000022,3.50475e-10,1000671395.799292
26,0.6000000000000023,4.43459e-10,1000671395.799292
27,0.7000000000000024,5.42402e-10,1000671395.799292
28,0.8000000000000025,6.35386e-10,1000671395.799292
29,0.9000000000000026,7.34329e-10,1000671395.799292
30,1.0000000000000027,8.33273e-10,1000671395.799292
31,1.1000000000000028,9.29832e-10,1000671395.799292
32,1.2000000000000028,1.03831e-09,1000671395.799292
33,1.300000000000003,1.1313e-09,1000671395.799292
34,1.400000000000003,1.22547e-09,1000671395.799292
35,1.500000000000003,1.32322e-09,1000671395.799292
36,1.6000000000000032,1.42455e-09,1000671395.799292
37,1.7000000000000033,1.51992e-09,1000671395.799292
38,1.8000000000000034,1.61529e-09,1000671395.799292
39,1.9000000000000035,1.72257e-09,1000671395.799292
